ID,Year,Country,Region,Artist,Song,Artist_gender,Group_Solo,Place,Points,Home_Away_Country,Home_Away_Region,Is_Final,Semi_Final_Number,Song_In_English,Song_Quality,Normalized_Points,energy,duration,acousticness,danceability,tempo,speechiness,key,liveness,time_signature,mode,loudness,valence,Happiness
613,2012,Turkey,Independent,Can Bonomo,Love Me Back,NA,NA,5,80,Away,Away,0,2,1,3.876.101.222,0.065681445,0.942646491,18.289.741,0.024858566,0.716795836,102.007,0.042235419,4,0.323675002,4,1,-6.702,0.736229035,5.960.465.116
614,2012,Ukraine,Former Socialist Bloc,Gaitana,Be My Guest,NA,NA,8,64,Away,Away,0,2,1,2.771.545.987,0.052545156,0.860165355,1.827.668,0.012070389,0.518704877,127.868,0.06910843,10,0.244057101,4,1,-4.903,0.911179681,589.525
615,2010,Albania,Former Socialist Bloc,Juliana Pasha,It s All About You,NA,NA,6,76,Away,Away,0,1,1,3.733.594.364,0.065517241,0.807461739,18.505.098,0.002921596,0.596592153,137.04,0.030633553,10,0.271033429,4,0,-6.306,0.750207537,5.507.431.193
616,2010,Armenia,Former Socialist Bloc,Eva Rivas,Apricot Stone,NA,NA,6,83,Away,Away,0,2,1,4.502.809.514,0.075317604,0.661044542,18.483.039,0.260057653,0.659370236,100.981,0.072217909,7,0.170253381,4,1,-9.121,0.298865537,5.337.238.806
617,2010,Azerbaijan,Former Socialist Bloc,Safura,Drip Drop,NA,NA,2,113,Away,Away,0,2,1,5.634.626.024,0.102540835,0.673506203,22.249.333,0.035092171,0.492781588,73.989,0.02735264,6,0.078487219,3,1,-4.862,0.435218905,52.075
618,2010,Belarus,Former Socialist Bloc,3 2 feat Robert Wells,Butterflies,NA,NA,9,59,Away,Away,0,1,1,3.188.090.449,0.050862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
619,2010,Belgium,Western Europe,Tom Dice,Me and My Guitar,NA,NA,1,167,Away,Away,0,1,1,8.894.784,0.143965517,0.358946934,18.127.782,0.521399975,0.468909784,125.984,0.034995638,9,0.108549024,4,1,-8.216,0.608224467,5.530.967.742
620,2010,Bosnia and Herzegovina,Former Yugoslavia,Vuka in Braji ,Thunder and Lightning,NA,NA,8,59,Away,Away,0,1,1,2.869.487.323,0.050862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,2010,Bulgaria,Former Socialist Bloc,Miro,Angel si ti              ,NA,NA,15,19,Away,Away,0,2,1,0.700714389,0.017241379,0.881648817,18.037.215,0.043003988,0.576680878,88.621,0.202435379,2,0.413000477,5,0,-8.098,0.681666809,NA
622,2010,Croatia,Former Yugoslavia,Feminnem,Lako je sve,NA,NA,13,33,Away,Away,0,2,0,2.269.431.215,0.029945554,0.639021987,17.987.873,0.12510717,0.489274456,76.032,0.042321836,6,0.08396795,4,1,-5.854,0.317211216,NA
623,2010,Cyprus,Independent,Jon Lilygreen and The Islanders,Life Looks Better in Spring,NA,NA,10,67,Away,Away,0,2,1,2.903.312.636,0.060798548,0.577602226,17.575.002,0.020847943,0.569670985,76.023,0.02915757,9,0.136239635,4,0,-9.515,0.528090177,5.764.065.934
624,2010,Denmark,Scandinavia,Chan e and N evergreen,In a Moment Like This,NA,NA,5,101,Away,Home,0,2,1,562.112.539,0.091651543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625,2010,Estonia,Former Socialist Bloc,Malcolm Lincoln and Manpower 4,Siren,NA,NA,14,39,Away,Away,0,1,1,1.958.098.799,0.03362069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
